equipment_id,failure_date,failure_type,root_cause,downtime_hours,repair_cost,parts_replaced
AC-001,2020-06-17,Valve failure,Valve seat erosion,8.7,1122.11,Control valve;Seals
AC-001,2020-08-11,Valve failure,Valve seat erosion,9.2,1272.75,Control valve;Seals
AC-001,2020-10-07,Motor failure,Winding insulation breakdown,15.1,3595.21,Motor;Bearings
AC-001,2020-10-11,Oil pump failure,Pump impeller wear,7.4,1004.57,Oil pump
AC-001,2021-03-31,Valve failure,Valve seat erosion,7.3,1488.32,Control valve;Seals
AC-001,2021-04-10,Valve failure,Valve seat erosion,9.9,1323.49,Control valve;Seals
AC-001,2021-04-15,Motor failure,Winding insulation breakdown,14.2,3550.26,Motor;Bearings
AC-001,2021-04-24,Oil pump failure,Pump impeller wear,6.6,1032.57,Oil pump
AC-001,2021-07-05,Pressure sensor failure,Sensor drift,2.0,517.37,Pressure sensor
AC-001,2021-07-15,Pressure sensor failure,Sensor drift,1.7,432.78,Pressure sensor
AC-001,2021-08-31,Compressor head failure,Piston ring wear,15.9,4858.99,Compressor head;Piston rings
AC-001,2022-02-06,Pressure sensor failure,Sensor drift,2.3,561.38,Pressure sensor
AC-001,2022-02-20,Compressor head failure,Piston ring wear,18.2,5559.36,Compressor head;Piston rings
AC-001,2022-03-09,Motor failure,Winding insulation breakdown,14.3,3012.60,Motor;Bearings
AC-001,2022-05-04,Oil pump failure,Pump impeller wear,7.6,1092.29,Oil pump
AC-001,2022-05-25,Compressor head failure,Piston ring wear,14.0,4675.68,Compressor head;Piston rings
AC-001,2022-06-01,Oil pump failure,Pump impeller wear,6.5,1060.00,Oil pump
AC-001,2022-09-11,Pressure sensor failure,Sensor drift,1.8,407.22,Pressure sensor
AC-001,2022-09-12,Motor failure,Winding insulation breakdown,11.5,3502.87,Motor;Bearings
AC-001,2023-01-02,Valve failure,Valve seat erosion,8.8,1286.50,Control valve;Seals
AC-001,2023-02-01,Oil pump failure,Pump impeller wear,5.6,1032.73,Oil pump
AC-001,2023-02-24,Compressor head failure,Piston ring wear,16.9,6459.94,Compressor head;Piston rings
AC-001,2023-04-25,Valve failure,Valve seat erosion,8.9,1451.81,Control valve;Seals
AC-001,2023-11-02,Oil pump failure,Pump impeller wear,6.0,861.07,Oil pump
AC-001,2024-01-24,Compressor head failure,Piston ring wear,18.6,6042.85,Compressor head;Piston rings
