equipment_id,delay_date,duration_hours,reason,impact,resolved
AC-001,2020-03-31,1.7,Cooling system issue,Minimal impact,true
AC-001,2020-04-18,1.8,Control system error,Minimal impact,true
AC-001,2020-04-24,5.6,Valve malfunction,Production reduced,true
AC-001,2020-04-27,2.0,Oil filter clogged,Minor disruption,true
AC-001,2020-05-17,2.7,Temperature sensor failure,Minor disruption,true
AC-001,2020-05-26,3.1,Compressor shutdown,Minor disruption,true
AC-001,2020-05-28,1.0,Temperature sensor failure,Minimal impact,true
AC-001,2020-06-08,4.8,Temperature sensor failure,Production reduced,true
AC-001,2020-06-14,2.8,Cooling system issue,Minor disruption,true
AC-001,2020-07-08,2.2,Compressor shutdown,Minor disruption,true
AC-001,2020-07-20,6.0,Pressure drop,Production reduced,true
AC-001,2020-07-26,4.8,Compressor shutdown,Production reduced,true
AC-001,2020-08-08,5.9,Oil filter clogged,Production reduced,true
AC-001,2020-08-12,3.4,Oil filter clogged,Minor disruption,true
AC-001,2020-09-09,5.2,Cooling system issue,Production reduced,false
AC-001,2020-10-18,5.1,Temperature sensor failure,Production reduced,true
AC-001,2020-10-19,2.3,Pressure drop,Minor disruption,true
AC-001,2020-11-17,5.2,Valve malfunction,Production reduced,true
AC-001,2020-11-18,3.6,Compressor shutdown,Minor disruption,true
AC-001,2020-11-22,3.3,Control system error,Minor disruption,true
AC-001,2020-12-01,2.2,Cooling system issue,Minor disruption,true
AC-001,2021-01-09,3.7,Oil filter clogged,Minor disruption,true
AC-001,2021-01-16,0.8,Pressure drop,Minimal impact,true
AC-001,2021-01-27,1.9,Pressure drop,Minimal impact,true
AC-001,2021-03-08,1.6,Control system error,Minimal impact,true
AC-001,2021-03-11,5.7,Cooling system issue,Production reduced,true
AC-001,2021-05-04,1.6,Oil filter clogged,Minimal impact,true
AC-001,2021-05-05,0.9,Temperature sensor failure,Minimal impact,true
AC-001,2021-06-02,8.8,Temperature sensor failure,Production stopped,true
AC-001,2021-08-01,4.2,Pressure drop,Production reduced,true
AC-001,2021-08-07,5.9,Compressor shutdown,Production reduced,true
AC-001,2021-08-09,11.8,Control system error,Production stopped,true
AC-001,2021-08-26,7.8,Oil filter clogged,Production reduced,true
AC-001,2021-09-03,4.6,Valve malfunction,Production reduced,true
AC-001,2021-09-04,5.4,Cooling system issue,Production reduced,true
AC-001,2021-09-19,2.4,Compressor shutdown,Minor disruption,true
AC-001,2021-09-28,5.2,Control system error,Production reduced,true
AC-001,2021-10-12,2.0,Control system error,Minor disruption,true
AC-001,2021-10-14,5.3,Temperature sensor failure,Production reduced,true
AC-001,2021-10-28,2.8,Valve malfunction,Minor disruption,true
AC-001,2021-11-13,5.8,Valve malfunction,Production reduced,true
AC-001,2021-11-17,4.3,Temperature sensor failure,Production reduced,true
AC-001,2021-12-16,4.1,Cooling system issue,Production reduced,true
AC-001,2021-12-18,5.5,Compressor shutdown,Production reduced,true
AC-001,2021-12-24,4.8,Valve malfunction,Production reduced,true
AC-001,2022-01-21,0.6,Compressor shutdown,Minimal impact,false
AC-001,2022-01-28,1.1,Compressor shutdown,Minimal impact,true
AC-001,2022-01-28,5.8,Temperature sensor failure,Production reduced,true
AC-001,2022-01-31,6.0,Valve malfunction,Production reduced,true
AC-001,2022-03-05,2.4,Oil filter clogged,Minor disruption,true
AC-001,2022-03-06,0.8,Pressure drop,Minimal impact,true
AC-001,2022-04-03,2.4,Valve malfunction,Minor disruption,true
AC-001,2022-04-20,2.8,Oil filter clogged,Minor disruption,true
AC-001,2022-04-25,2.9,Cooling system issue,Minor disruption,true
AC-001,2022-05-12,2.0,Compressor shutdown,Minimal impact,true
AC-001,2022-05-14,1.6,Cooling system issue,Minimal impact,true
AC-001,2022-06-10,11.9,Compressor shutdown,Production stopped,true
AC-001,2022-06-25,7.8,Oil filter clogged,Production reduced,true
AC-001,2022-07-04,2.6,Control system error,Minor disruption,true
AC-001,2022-08-07,5.2,Temperature sensor failure,Production reduced,true
AC-001,2022-08-08,11.6,Compressor shutdown,Production stopped,true
AC-001,2022-08-22,4.2,Oil filter clogged,Production reduced,true
AC-001,2022-08-25,9.6,Pressure drop,Production stopped,true
AC-001,2022-09-03,0.9,Compressor shutdown,Minimal impact,false
AC-001,2022-09-05,5.1,Compressor shutdown,Production reduced,true
AC-001,2022-09-25,2.3,Pressure drop,Minor disruption,true
AC-001,2022-10-08,1.7,Valve malfunction,Minimal impact,true
AC-001,2022-10-25,2.6,Cooling system issue,Minor disruption,true
AC-001,2022-10-30,3.5,Cooling system issue,Minor disruption,true
AC-001,2022-11-24,2.7,Oil filter clogged,Minor disruption,false
AC-001,2022-11-27,1.1,Oil filter clogged,Minimal impact,true
AC-001,2023-01-14,4.3,Cooling system issue,Production reduced,true
AC-001,2023-01-18,5.6,Valve malfunction,Production reduced,true
AC-001,2023-03-02,0.9,Valve malfunction,Minimal impact,true
AC-001,2023-03-05,4.4,Pressure drop,Production reduced,true
AC-001,2023-03-21,5.6,Compressor shutdown,Production reduced,true
AC-001,2023-03-22,4.8,Cooling system issue,Production reduced,true
AC-001,2023-04-10,2.1,Compressor shutdown,Minor disruption,true
AC-001,2023-04-11,0.9,Pressure drop,Minimal impact,true
