equipment_id,maintenance_date,maintenance_type,technician,actions_taken,parts_used,duration_hours
AC-001,2020-03-18,Preventive,David Kim,Air filter replacement,Air filter,0.4
AC-001,2020-03-21,Preventive,Priya Patel,Bearing lubrication,Grease,1.9
AC-001,2020-03-23,Preventive,John Martinez,Cooling system cleaning,Cleaning solution,2.1
AC-001,2020-03-27,Preventive,Carlos Rodriguez,Air filter replacement,Air filter,0.6
AC-001,2020-03-31,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,1.7
AC-001,2020-04-19,Preventive,James Wilson,Compressor belt tensioning,None,1.2
AC-001,2020-04-23,Preventive,John Martinez,Cooling system cleaning,Cleaning solution,2.6
AC-001,2020-04-27,Preventive,David Kim,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2020-05-23,Preventive,Michael O'Brien,Cooling system cleaning,Cleaning solution,1.8
AC-001,2020-05-27,Preventive,John Martinez,Bearing lubrication,Grease,1.2
AC-001,2020-05-31,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,3.0
AC-001,2020-06-02,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,1.1
AC-001,2020-06-20,Preventive,Sarah Chen,Bearing lubrication,Grease,1.4
AC-001,2020-06-27,Corrective,Sarah Chen,Pressure sensor calibration,Calibration kit,1.0
AC-001,2020-06-30,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,1.0
AC-001,2020-07-31,Predictive,Priya Patel,Oil change and filter replacement,Oil;Filter,3.1
AC-001,2020-08-15,Preventive,Priya Patel,Cooling system cleaning,Cleaning solution,2.2
AC-001,2020-08-22,Preventive,Maria Garcia,Compressor belt tensioning,None,0.9
AC-001,2020-09-12,Preventive,Maria Garcia,Air filter replacement,Air filter,0.6
AC-001,2020-09-14,Preventive,Michael O'Brien,Oil change and filter replacement,Oil;Filter,2.5
AC-001,2020-10-14,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,0.9
AC-001,2020-11-02,Preventive,Michael O'Brien,Cooling system cleaning,Cleaning solution,1.9
AC-001,2020-11-07,Preventive,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,1.2
AC-001,2020-11-07,Preventive,Carlos Rodriguez,Air filter replacement,Air filter,0.6
AC-001,2020-11-11,Preventive,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,1.0
AC-001,2020-11-17,Corrective,David Kim,Oil change and filter replacement,Oil;Filter,3.1
AC-001,2020-12-09,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,2.5
AC-001,2020-12-11,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,1.0
AC-001,2020-12-11,Scheduled,Emma Thompson,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2021-01-01,Preventive,Emma Thompson,Bearing lubrication,Grease,1.7
AC-001,2021-01-15,Corrective,Priya Patel,Valve inspection and adjustment,Valve kit,3.1
AC-001,2021-01-18,Preventive,David Kim,Valve inspection and adjustment,Valve kit,2.5
AC-001,2021-03-02,Corrective,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.7
AC-001,2021-03-05,Preventive,James Wilson,Oil change and filter replacement,Oil;Filter,2.9
AC-001,2021-03-07,Corrective,Sarah Chen,Cooling system cleaning,Cleaning solution,2.1
AC-001,2021-03-11,Preventive,James Wilson,Oil change and filter replacement,Oil;Filter,2.9
AC-001,2021-03-16,Corrective,David Kim,Bearing lubrication,Grease,1.6
AC-001,2021-03-19,Corrective,John Martinez,Cooling system cleaning,Cleaning solution,2.3
AC-001,2021-04-04,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,1.0
AC-001,2021-04-14,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,3.3
AC-001,2021-04-27,Preventive,Priya Patel,Air filter replacement,Air filter,0.6
AC-001,2021-04-30,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,2.4
AC-001,2021-05-02,Corrective,James Wilson,Valve inspection and adjustment,Valve kit,2.8
AC-001,2021-05-11,Preventive,Maria Garcia,Bearing lubrication,Grease,1.6
AC-001,2021-05-17,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,2.9
AC-001,2021-05-21,Preventive,Lisa Anderson,Bearing lubrication,Grease,1.7
AC-001,2021-05-23,Preventive,Sarah Chen,Valve inspection and adjustment,Valve kit,2.9
AC-001,2021-05-24,Preventive,Carlos Rodriguez,Cooling system cleaning,Cleaning solution,2.2
AC-001,2021-06-10,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,1.9
AC-001,2021-06-11,Preventive,Maria Garcia,Valve inspection and adjustment,Valve kit,2.9
AC-001,2021-06-11,Corrective,David Kim,Bearing lubrication,Grease,1.3
AC-001,2021-06-11,Preventive,David Kim,Cooling system cleaning,Cleaning solution,2.4
AC-001,2021-06-12,Preventive,Maria Garcia,Valve inspection and adjustment,Valve kit,2.8
AC-001,2021-07-02,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,0.8
AC-001,2021-07-12,Corrective,Lisa Anderson,Compressor belt tensioning,None,1.1
AC-001,2021-08-09,Corrective,Maria Garcia,Oil change and filter replacement,Oil;Filter,3.0
AC-001,2021-09-19,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.0
AC-001,2021-09-28,Preventive,Lisa Anderson,Valve inspection and adjustment,Valve kit,2.7
AC-001,2021-09-29,Preventive,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.1
AC-001,2021-11-03,Preventive,Priya Patel,Air filter replacement,Air filter,0.4
AC-001,2021-11-08,Corrective,Lisa Anderson,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2021-11-11,Preventive,James Wilson,Air filter replacement,Air filter,0.6
AC-001,2021-11-16,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,1.9
AC-001,2021-12-01,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.5
AC-001,2021-12-07,Corrective,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.8
AC-001,2021-12-22,Preventive,John Martinez,Cooling system cleaning,Cleaning solution,1.6
AC-001,2021-12-28,Corrective,Emma Thompson,Compressor belt tensioning,None,0.9
AC-001,2022-01-12,Preventive,Priya Patel,Oil change and filter replacement,Oil;Filter,2.2
AC-001,2022-01-23,Scheduled,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.6
AC-001,2022-02-09,Corrective,Emma Thompson,Bearing lubrication,Grease,1.6
AC-001,2022-02-19,Preventive,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,0.9
AC-001,2022-02-24,Preventive,Priya Patel,Air filter replacement,Air filter,0.5
AC-001,2022-03-08,Corrective,Sarah Chen,Bearing lubrication,Grease,1.6
AC-001,2022-03-25,Preventive,John Martinez,Compressor belt tensioning,None,0.9
AC-001,2022-04-08,Preventive,Priya Patel,Bearing lubrication,Grease,1.6
AC-001,2022-04-11,Corrective,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2022-04-14,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.4
AC-001,2022-04-15,Preventive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,3.2
AC-001,2022-04-17,Preventive,Maria Garcia,Air filter replacement,Air filter,0.5
AC-001,2022-04-25,Preventive,Sarah Chen,Air filter replacement,Air filter,0.4
AC-001,2022-04-26,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,2.2
AC-001,2022-05-17,Preventive,Emma Thompson,Pressure sensor calibration,Calibration kit,0.9
AC-001,2022-06-09,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,0.9
AC-001,2022-06-21,Corrective,James Wilson,Compressor belt tensioning,None,1.2
AC-001,2022-07-19,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.7
AC-001,2022-07-30,Preventive,David Kim,Bearing lubrication,Grease,1.7
AC-001,2022-08-06,Preventive,Lisa Anderson,Air filter replacement,Air filter,0.6
AC-001,2022-08-07,Preventive,John Martinez,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2022-08-14,Corrective,Priya Patel,Pressure sensor calibration,Calibration kit,1.1
AC-001,2022-08-18,Preventive,James Wilson,Compressor belt tensioning,None,1.1
AC-001,2022-09-06,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,0.9
AC-001,2022-09-09,Preventive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.6
AC-001,2022-09-25,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,0.9
AC-001,2022-10-02,Corrective,James Wilson,Compressor belt tensioning,None,0.9
AC-001,2022-10-09,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,3.8
AC-001,2022-10-18,Preventive,Carlos Rodriguez,Cooling system cleaning,Cleaning solution,1.9
AC-001,2022-11-17,Corrective,James Wilson,Cooling system cleaning,Cleaning solution,1.8
AC-001,2022-11-20,Corrective,Emma Thompson,Oil change and filter replacement,Oil;Filter,2.3
AC-001,2022-11-23,Corrective,Priya Patel,Bearing lubrication,Grease,1.6
AC-001,2022-11-26,Preventive,James Wilson,Oil change and filter replacement,Oil;Filter,2.5
AC-001,2023-01-21,Corrective,Michael O'Brien,Bearing lubrication,Grease,1.3
AC-001,2023-01-25,Predictive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.2
AC-001,2023-02-02,Preventive,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,2.4
AC-001,2023-02-05,Preventive,Priya Patel,Compressor belt tensioning,None,0.8
AC-001,2023-02-10,Preventive,Carlos Rodriguez,Air filter replacement,Air filter,0.5
AC-001,2023-02-22,Preventive,John Martinez,Bearing lubrication,Grease,1.8
AC-001,2023-03-20,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,3.6
AC-001,2023-03-27,Preventive,John Martinez,Air filter replacement,Air filter,0.5
AC-001,2023-04-07,Preventive,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.1
AC-001,2023-05-01,Preventive,Emma Thompson,Air filter replacement,Air filter,0.6
AC-001,2023-05-03,Preventive,Maria Garcia,Air filter replacement,Air filter,0.4
AC-001,2023-05-18,Preventive,Sarah Chen,Valve inspection and adjustment,Valve kit,3.4
AC-001,2023-05-28,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,2.6
AC-001,2023-06-15,Preventive,Emma Thompson,Bearing lubrication,Grease,1.5
AC-001,2023-07-20,Preventive,Sarah Chen,Cooling system cleaning,Cleaning solution,2.6
AC-001,2023-08-01,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,3.9
AC-001,2023-08-05,Preventive,John Martinez,Bearing lubrication,Grease,1.6
AC-001,2023-08-09,Preventive,David Kim,Air filter replacement,Air filter,0.6
AC-001,2023-08-10,Preventive,Michael O'Brien,Cooling system cleaning,Cleaning solution,2.0
AC-001,2023-08-13,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,3.4
AC-001,2023-08-22,Preventive,Maria Garcia,Oil change and filter replacement,Oil;Filter,3.0
AC-001,2023-08-24,Corrective,Maria Garcia,Valve inspection and adjustment,Valve kit,3.8
AC-001,2023-08-24,Preventive,Sarah Chen,Oil change and filter replacement,Oil;Filter,3.0
AC-001,2023-08-25,Preventive,Priya Patel,Compressor belt tensioning,None,1.3
AC-001,2023-09-03,Corrective,David Kim,Bearing lubrication,Grease,1.5
AC-001,2023-09-15,Preventive,Lisa Anderson,Air filter replacement,Air filter,0.5
AC-001,2023-09-16,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,0.9
AC-001,2023-10-06,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,2.5
AC-001,2023-10-19,Corrective,Priya Patel,Air filter replacement,Air filter,0.4
AC-001,2023-10-20,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,1.3
AC-001,2023-10-23,Corrective,David Kim,Compressor belt tensioning,None,1.0
AC-001,2023-10-24,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.5
AC-001,2023-11-09,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,0.8
AC-001,2023-11-12,Preventive,David Kim,Valve inspection and adjustment,Valve kit,3.7
AC-001,2023-11-16,Preventive,Emma Thompson,Bearing lubrication,Grease,1.4
AC-001,2023-11-17,Scheduled,Emma Thompson,Oil change and filter replacement,Oil;Filter,2.5
AC-001,2023-11-20,Preventive,James Wilson,Air filter replacement,Air filter,0.5
AC-001,2023-12-16,Preventive,Priya Patel,Air filter replacement,Air filter,0.5
AC-001,2023-12-22,Scheduled,Maria Garcia,Valve inspection and adjustment,Valve kit,3.3
AC-001,2024-01-18,Corrective,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.7
AC-001,2024-01-21,Corrective,Emma Thompson,Pressure sensor calibration,Calibration kit,1.2
AC-001,2024-01-25,Corrective,Michael O'Brien,Pressure sensor calibration,Calibration kit,0.9
AC-001,2024-01-29,Preventive,Sarah Chen,Air filter replacement,Air filter,0.5
AC-001,2024-02-12,Preventive,Lisa Anderson,Compressor belt tensioning,None,0.9
AC-001,2024-05-28,Preventive,David Kim,Valve inspection and adjustment,Valve kit,3.1
AC-001,2024-06-10,Preventive,Sarah Chen,Air filter replacement,Air filter,0.4
AC-001,2024-06-17,Scheduled,Michael O'Brien,Pressure sensor calibration,Calibration kit,0.9
AC-001,2024-06-19,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,1.3
AC-001,2024-06-20,Preventive,Michael O'Brien,Oil change and filter replacement,Oil;Filter,2.7
AC-001,2024-07-07,Corrective,Priya Patel,Pressure sensor calibration,Calibration kit,1.0
AC-001,2024-07-08,Preventive,John Martinez,Pressure sensor calibration,Calibration kit,1.0
AC-001,2024-07-28,Preventive,Sarah Chen,Valve inspection and adjustment,Valve kit,3.2
AC-001,2024-07-29,Preventive,Sarah Chen,Valve inspection and adjustment,Valve kit,3.6
AC-001,2024-08-08,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,1.1
AC-001,2024-08-15,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.6
AC-001,2024-08-18,Emergency,Sarah Chen,Valve inspection and adjustment,Valve kit,3.7
AC-001,2024-09-01,Emergency,Michael O'Brien,Cooling system cleaning,Cleaning solution,2.1
AC-001,2024-09-12,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,1.3
AC-001,2024-09-17,Corrective,Lisa Anderson,Pressure sensor calibration,Calibration kit,0.9
AC-001,2024-09-20,Corrective,Lisa Anderson,Bearing lubrication,Grease,1.6
AC-001,2024-09-23,Preventive,Maria Garcia,Bearing lubrication,Grease,1.5
AC-001,2024-10-02,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,2.5
AC-001,2024-10-02,Preventive,David Kim,Air filter replacement,Air filter,0.6
AC-001,2024-10-17,Corrective,Lisa Anderson,Oil change and filter replacement,Oil;Filter,3.0
AC-001,2024-10-23,Preventive,Sarah Chen,Valve inspection and adjustment,Valve kit,2.5
AC-001,2024-10-26,Corrective,James Wilson,Valve inspection and adjustment,Valve kit,3.1
AC-001,2024-11-04,Preventive,David Kim,Pressure sensor calibration,Calibration kit,0.9
AC-001,2024-11-12,Preventive,Michael O'Brien,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2024-11-18,Preventive,Priya Patel,Compressor belt tensioning,None,0.8
AC-001,2024-11-21,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,2.0
AC-001,2024-12-15,Corrective,David Kim,Cooling system cleaning,Cleaning solution,2.5
AC-001,2024-12-30,Preventive,David Kim,Bearing lubrication,Grease,1.4
AC-001,2025-01-03,Corrective,Emma Thompson,Bearing lubrication,Grease,1.2
AC-001,2025-01-04,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.8
AC-001,2025-01-07,Scheduled,Maria Garcia,Cooling system cleaning,Cleaning solution,2.5
AC-001,2025-01-09,Preventive,James Wilson,Compressor belt tensioning,None,1.0
AC-001,2025-01-10,Preventive,James Wilson,Valve inspection and adjustment,Valve kit,2.9
AC-001,2025-01-14,Corrective,Maria Garcia,Air filter replacement,Air filter,0.5
AC-001,2025-01-21,Corrective,John Martinez,Valve inspection and adjustment,Valve kit,2.6
AC-001,2025-02-03,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,1.1
AC-001,2025-02-05,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,0.9
AC-001,2025-02-10,Predictive,James Wilson,Valve inspection and adjustment,Valve kit,3.3
AC-001,2025-02-24,Preventive,John Martinez,Cooling system cleaning,Cleaning solution,2.2
AC-001,2025-02-26,Preventive,James Wilson,Bearing lubrication,Grease,1.9
AC-001,2025-03-02,Corrective,James Wilson,Air filter replacement,Air filter,0.6
AC-001,2025-03-07,Preventive,David Kim,Bearing lubrication,Grease,1.5
AC-001,2025-03-25,Preventive,David Kim,Compressor belt tensioning,None,1.2
AC-001,2025-03-25,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.2
AC-001,2025-04-13,Corrective,Priya Patel,Oil change and filter replacement,Oil;Filter,2.9
AC-001,2025-05-14,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.1
AC-001,2025-05-19,Preventive,Priya Patel,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2025-05-20,Corrective,Emma Thompson,Valve inspection and adjustment,Valve kit,2.5
AC-001,2025-05-25,Preventive,James Wilson,Cooling system cleaning,Cleaning solution,2.2
AC-001,2025-05-27,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,2.2
AC-001,2025-05-29,Preventive,Maria Garcia,Compressor belt tensioning,None,0.9
AC-001,2025-05-31,Preventive,David Kim,Compressor belt tensioning,None,1.2
AC-001,2025-06-01,Corrective,James Wilson,Valve inspection and adjustment,Valve kit,2.8
AC-001,2025-06-03,Preventive,James Wilson,Cooling system cleaning,Cleaning solution,1.8
AC-001,2025-06-12,Corrective,Michael O'Brien,Oil change and filter replacement,Oil;Filter,2.4
AC-001,2025-06-28,Corrective,David Kim,Bearing lubrication,Grease,1.2
AC-001,2025-06-30,Emergency,Maria Garcia,Cooling system cleaning,Cleaning solution,2.6
AC-001,2025-07-17,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,1.0
AC-001,2025-07-27,Preventive,David Kim,Air filter replacement,Air filter,0.4
AC-001,2025-07-28,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,3.2
AC-001,2025-08-01,Corrective,Michael O'Brien,Cooling system cleaning,Cleaning solution,1.8
AC-001,2025-08-05,Preventive,Lisa Anderson,Compressor belt tensioning,None,0.9
AC-001,2025-08-10,Corrective,Maria Garcia,Bearing lubrication,Grease,1.2
AC-001,2025-09-17,Preventive,Lisa Anderson,Cooling system cleaning,Cleaning solution,1.9
AC-001,2025-09-18,Preventive,John Martinez,Compressor belt tensioning,None,1.2
AC-001,2025-09-20,Corrective,Emma Thompson,Oil change and filter replacement,Oil;Filter,2.4
AC-001,2025-09-21,Preventive,Maria Garcia,Pressure sensor calibration,Calibration kit,0.8
AC-001,2025-10-04,Preventive,Priya Patel,Cooling system cleaning,Cleaning solution,2.4
AC-001,2025-10-23,Preventive,John Martinez,Compressor belt tensioning,None,1.2
AC-001,2025-10-24,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,1.1
AC-001,2025-10-26,Preventive,James Wilson,Air filter replacement,Air filter,0.6
AC-001,2025-10-30,Preventive,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,2.2
AC-001,2025-11-12,Corrective,James Wilson,Air filter replacement,Air filter,0.5
AC-001,2025-11-14,Preventive,Sarah Chen,Bearing lubrication,Grease,1.9
AC-001,2025-11-18,Preventive,David Kim,Bearing lubrication,Grease,1.7
AC-001,2025-12-08,Preventive,Maria Garcia,Pressure sensor calibration,Calibration kit,1.3
AC-001,2025-12-09,Preventive,James Wilson,Valve inspection and adjustment,Valve kit,3.5
AC-001,2025-12-11,Preventive,Maria Garcia,Air filter replacement,Air filter,0.6
AC-001,2026-01-01,Preventive,Maria Garcia,Valve inspection and adjustment,Valve kit,3.3
AC-001,2026-02-07,Preventive,Maria Garcia,Compressor belt tensioning,None,0.8
AC-001,2026-02-13,Preventive,Priya Patel,Air filter replacement,Air filter,0.6
AC-001,2026-02-25,Preventive,Sarah Chen,Air filter replacement,Air filter,0.6
AC-001,2026-02-25,Corrective,Michael O'Brien,Cooling system cleaning,Cleaning solution,1.7
AC-001,2026-03-02,Preventive,John Martinez,Air filter replacement,Air filter,0.6
AC-001,2026-03-09,Scheduled,Sarah Chen,Air filter replacement,Air filter,0.5
AC-001,2026-03-31,Preventive,Priya Patel,Oil change and filter replacement,Oil;Filter,2.7
AC-001,2026-04-13,Corrective,Maria Garcia,Air filter replacement,Air filter,0.5
AC-001,2026-04-19,Predictive,Priya Patel,Cooling system cleaning,Cleaning solution,2.0
AC-001,2026-04-28,Emergency,Michael O'Brien,Compressor belt tensioning,None,1.1
AC-001,2026-05-03,Predictive,Lisa Anderson,Bearing lubrication,Grease,1.5
AC-001,2026-05-07,Corrective,James Wilson,Air filter replacement,Air filter,0.4
AC-001,2026-05-07,Corrective,James Wilson,Bearing lubrication,Grease,1.9
AC-001,2026-05-11,Preventive,David Kim,Bearing lubrication,Grease,1.7
AC-001,2026-05-29,Predictive,Emma Thompson,Compressor belt tensioning,None,0.9
AC-001,2026-06-06,Preventive,James Wilson,Bearing lubrication,Grease,1.9
AC-001,2026-06-08,Preventive,Michael O'Brien,Bearing lubrication,Grease,1.9
AC-002,2020-03-29,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.3
AC-002,2020-03-30,Corrective,Sarah Chen,Bearing lubrication,Grease,1.9
AC-002,2020-04-04,Preventive,Lisa Anderson,Cooling system cleaning,Cleaning solution,2.5
AC-002,2020-04-24,Preventive,David Kim,Pressure sensor calibration,Calibration kit,0.8
AC-002,2020-05-18,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.5
