equipment_id,timestamp,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm
AC-001,2026-06-07 19:13:13,75.0,2.11,7.0,42.0,1486
AC-001,2026-06-07 20:13:13,75.2,2.07,6.97,42.1,1481
AC-001,2026-06-07 21:13:13,75.5,1.96,6.93,42.2,1463
AC-001,2026-06-07 22:13:13,75.7,1.91,6.9,42.3,1487
AC-001,2026-06-07 23:13:13,75.9,2.1,6.87,42.4,1474
AC-001,2026-06-08 00:13:13,76.2,2.08,6.84,42.4,1477
AC-001,2026-06-08 01:13:13,76.4,1.99,6.8,42.5,1471
AC-001,2026-06-08 02:13:13,76.7,2.39,6.77,42.6,1494
AC-001,2026-06-08 03:13:13,76.9,2.21,6.74,42.7,1473
AC-001,2026-06-08 04:13:13,77.1,2.32,6.71,42.8,1484
AC-001,2026-06-08 05:13:13,77.4,2.24,6.67,42.9,1481
AC-001,2026-06-08 06:13:13,77.6,2.33,6.64,43.0,1462
AC-001,2026-06-08 07:13:13,77.8,2.1,6.61,43.1,1493
AC-001,2026-06-08 08:13:13,78.1,2.25,6.58,43.2,1479
AC-001,2026-06-08 09:13:13,78.3,1.91,6.54,43.2,1467
AC-001,2026-06-08 10:13:13,78.6,2.14,6.51,43.3,1479
AC-001,2026-06-08 11:13:13,78.8,2.33,6.48,43.4,1489
AC-001,2026-06-08 12:13:13,79.0,1.68,6.45,43.5,1470
AC-001,2026-06-08 13:13:13,79.3,2.34,6.41,43.6,1490
AC-001,2026-06-08 14:13:13,79.5,2.03,6.38,43.7,1491
AC-001,2026-06-08 15:13:13,79.7,2.39,6.35,43.8,1472
AC-001,2026-06-08 16:13:13,80.0,1.7,6.32,43.9,1491
AC-001,2026-06-08 17:13:13,80.2,2.43,6.28,44.0,1470
AC-001,2026-06-08 18:13:13,80.4,1.86,6.25,44.0,1489
AC-001,2026-06-08 19:13:13,80.7,2.26,6.22,44.1,1484
AC-001,2026-06-08 20:13:13,80.9,2.32,6.19,44.2,1476
AC-001,2026-06-08 21:13:13,81.2,2.3,6.15,44.3,1486
AC-001,2026-06-08 22:13:13,81.4,2.42,6.12,44.4,1488
AC-001,2026-06-08 23:13:13,81.6,1.97,6.09,44.5,1477
AC-001,2026-06-09 00:13:13,81.9,2.4,6.06,44.6,1500
AC-001,2026-06-09 01:13:13,82.1,2.23,6.02,44.7,1477
AC-001,2026-06-09 02:13:13,82.3,2.66,5.99,44.8,1490
AC-001,2026-06-09 03:13:13,82.6,2.31,5.96,44.8,1479
AC-001,2026-06-09 04:13:13,82.8,2.47,5.93,44.9,1470
AC-001,2026-06-09 05:13:13,83.0,2.37,5.89,45.0,1495
AC-001,2026-06-09 06:13:13,83.3,2.26,5.86,45.1,1490
AC-001,2026-06-09 07:13:13,83.5,2.38,5.83,45.2,1491
AC-001,2026-06-09 08:13:13,83.8,2.4,5.8,45.3,1470
AC-001,2026-06-09 09:13:13,84.0,2.06,5.76,45.4,1469
AC-001,2026-06-09 10:13:13,84.2,2.42,5.73,45.5,1482
AC-001,2026-06-09 11:13:13,84.5,1.93,5.7,45.6,1479
AC-001,2026-06-09 12:13:13,84.7,2.23,5.67,45.6,1474
AC-001,2026-06-09 13:13:13,84.9,2.54,5.63,45.7,1469
